
Gurobi 9.5.2 (mac64[arm]) logging started Fri Apr 28 14:46:49 2023

Set parameter LogFile to value "Java/output/pure_mip_2_machine/scenario_seed_4_nJob_40_machineCount_2/mip_increment_5/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 558 rows, 7140 columns and 29142 nonzeros
Model fingerprint: 0xdbb5dcf4
Variable types: 0 continuous, 7140 integer (7140 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [5e+00, 2e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Presolve removed 12 rows and 1065 columns
Presolve time: 0.04s
Presolved: 546 rows, 6075 columns, 24921 nonzeros
Variable types: 0 continuous, 6075 integer (6075 binary)

Root relaxation: objective 1.103122e+04, 3328 iterations, 0.10 seconds (0.16 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 15327.1353    0  341 15866.0000 15327.1353  3.40%     -    6s
     0     0 15327.1353    0  346 15866.0000 15327.1353  3.40%     -    6s
     0     0 15327.1353    0  347 15866.0000 15327.1353  3.40%     -    6s
H    0     0                    15856.000000 15327.1353  3.34%     -    6s
     0     0 15327.1353    0  392 15856.0000 15327.1353  3.34%     -    6s
     0     0 15327.1353    0  398 15856.0000 15327.1353  3.34%     -    6s
     0     0 15327.1353    0  388 15856.0000 15327.1353  3.34%     -    6s
     0     0 15327.1353    0  393 15856.0000 15327.1353  3.34%     -    6s
     0     0 15327.1353    0  400 15856.0000 15327.1353  3.34%     -    6s
     0     0 15327.1353    0  402 15856.0000 15327.1353  3.34%     -    6s
     0     0 15327.1353    0  417 15856.0000 15327.1353  3.34%     -    6s
     0     0 15327.1353    0  395 15856.0000 15327.1353  3.34%     -    6s
     0     0 15327.1353    0  400 15856.0000 15327.1353  3.34%     -    6s
H    0     0                    15842.000000 15327.1353  3.25%     -    6s
     0     0 15327.1353    0  397 15842.0000 15327.1353  3.25%     -    6s
H    0     0                    15840.000000 15327.1353  3.24%     -    6s
     0     0 15327.1353    0  408 15840.0000 15327.1353  3.24%     -    6s
     0     0 15327.1353    0  418 15840.0000 15327.1353  3.24%     -    7s
     0     0 15327.1353    0  438 15840.0000 15327.1353  3.24%     -    7s
     0     0 15327.1353    0  421 15840.0000 15327.1353  3.24%     -    7s
     0     0 15327.1353    0  422 15840.0000 15327.1353  3.24%     -    7s
     0     0 15327.1353    0  443 15840.0000 15327.1353  3.24%     -    7s
     0     0 15327.7026    0  431 15840.0000 15327.7026  3.23%     -    7s
     0     0 15328.1220    0  439 15840.0000 15328.1220  3.23%     -    7s
     0     0 15328.2003    0  451 15840.0000 15328.2003  3.23%     -    7s
     0     0 15329.4827    0  456 15840.0000 15329.4827  3.22%     -    7s
     0     0 15329.4827    0  451 15840.0000 15329.4827  3.22%     -    7s
     0     2 15330.6989    0  451 15840.0000 15330.6989  3.22%     -    7s
H   68    74                    15745.000000 15391.7309  2.24%   544    8s
H   99    95                    15718.000000 15391.7309  2.08%   473    8s
H   99    95                    15689.000000 15391.7309  1.89%   473    8s
H  134   127                    15618.000000 15391.7309  1.45%   457    8s
H  184   130                    15616.000000 15391.7309  1.44%   404    8s
