
Gurobi 9.5.2 (mac64[arm]) logging started Sun Apr 30 16:14:57 2023

Set parameter LogFile to value "Java/output/special_mip/scenario_seed_0_nJob_40_machineCount_1/mip_increment_5/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 718 rows, 10406 columns and 45325 nonzeros
Model fingerprint: 0x805af7f8
Variable types: 0 continuous, 10406 integer (10406 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [1e+00, 9e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 3.215979e+07
Presolve added 9 rows and 0 columns
Presolve removed 0 rows and 722 columns
Presolve time: 0.05s
Presolved: 727 rows, 9684 columns, 40320 nonzeros
Variable types: 0 continuous, 9684 integer (9660 binary)
Found heuristic solution: objective 2.925997e+07

Root relaxation: objective 2.329239e+04, 4567 iterations, 0.16 seconds (0.30 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 23554.8610    0  697 25366.0000 23554.8610  7.14%     -    8s
     0     0 23559.6551    0  710 25366.0000 23559.6551  7.12%     -    8s
     0     0 23561.9978    0  725 25366.0000 23561.9978  7.11%     -    9s
     0     0 23563.0044    0  719 25366.0000 23563.0044  7.11%     -    9s
     0     0 23563.2340    0  717 25366.0000 23563.2340  7.11%     -    9s
     0     0 23565.3970    0  729 25366.0000 23565.3970  7.10%     -    9s
     0     0 23565.3970    0  700 25366.0000 23565.3970  7.10%     -    9s
     0     2 23565.5052    0  696 25366.0000 23565.5052  7.10%     -   10s
    67    76 23603.5152    7  682 25366.0000 23577.9313  7.05%  1581   16s
H   70    76                    25306.000000 23577.9313  6.83%  1553   16s
H  152   159                    25236.000000 23577.9313  6.57%  1359   19s
   171   187 23687.2774   15  652 25236.0000 23577.9313  6.57%  1385   20s
H  187   200                    25191.000000 23577.9313  6.40%  1310   21s
H  189   200                    25106.000000 23577.9313  6.09%  1299   21s
H  190   200                    25051.000000 23577.9313  5.88%  1297   21s
H  194   200                    24981.000000 23577.9313  5.62%  1312   21s
H  217   218                    24901.000000 23577.9313  5.31%  1284   24s
   225   226 23673.6078   17  661 24901.0000 23577.9313  5.31%  1307   25s
H  229   226                    24841.000000 23577.9313  5.08%  1340   25s
H  284   278                    24781.000000 23577.9313  4.85%  1493   29s
   291   295 23799.3812   21  634 24781.0000 23577.9313  4.85%  1514   30s
