
Gurobi 9.5.2 (mac64[arm]) logging started Wed Apr 19 14:19:28 2023

Set parameter LogFile to value "Java/output/pure_mip/scenario_seed_0_nJob_50_machineCount_1/mip_increment_5/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 790 rows, 13500 columns and 58631 nonzeros
Model fingerprint: 0x50de08f6
Variable types: 0 continuous, 13500 integer (13500 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+02]
  Objective range  [1e+00, 2e+07]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 1.460934e+08
Presolve added 20 rows and 0 columns
Presolve removed 0 rows and 760 columns
Presolve time: 0.06s
Presolved: 810 rows, 12740 columns, 52991 nonzeros
Variable types: 0 continuous, 12740 integer (12712 binary)
Found heuristic solution: objective 1.067672e+08

Root relaxation: objective 3.171071e+04, 8532 iterations, 0.41 seconds (0.78 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 31943.2269    0  828 35058.0000 31943.2269  8.88%     -   20s
     0     0 31943.3267    0  838 35058.0000 31943.3267  8.88%     -   20s
     0     0 31946.5885    0  851 35058.0000 31946.5885  8.88%     -   20s
     0     0 31947.2126    0  823 35058.0000 31947.2126  8.87%     -   20s
     0     0 31947.4040    0  819 35058.0000 31947.4040  8.87%     -   20s
H    0     0                    34978.000000 31947.4040  8.66%     -   20s
     0     0 31948.1140    0  840 34978.0000 31948.1140  8.66%     -   20s
     0     0 31948.1599    0  797 34978.0000 31948.1599  8.66%     -   20s
     0     0 31948.1967    0  260 34978.0000 31948.1967  8.66%     -   22s
H    0     0                    34918.000000 31948.1967  8.51%     -   22s
     0     0 31948.1967    0  518 34918.0000 31948.1967  8.51%     -   22s
H    0     0                    34833.000000 31948.1967  8.28%     -   22s
H    0     0                    34733.000000 31948.1967  8.02%     -   22s
     0     0 31948.1967    0  612 34733.0000 31948.1967  8.02%     -   22s
     0     0 31948.1967    0  685 34733.0000 31948.1967  8.02%     -   23s
     0     0 31948.1967    0  743 34733.0000 31948.1967  8.02%     -   23s
     0     0 31948.1967    0  775 34733.0000 31948.1967  8.02%     -   23s
     0     0 31948.1967    0  799 34733.0000 31948.1967  8.02%     -   23s
H    0     0                    34713.000000 31948.1967  7.96%     -   23s
     0     0 31949.8270    0  797 34713.0000 31949.8270  7.96%     -   23s
     0     0 31950.4624    0  798 34713.0000 31950.4624  7.96%     -   23s
     0     0 31950.4994    0  807 34713.0000 31950.4994  7.96%     -   23s
