
Gurobi 9.5.2 (mac64[arm]) logging started Fri Apr 28 20:58:07 2023

Set parameter LogFile to value "Java/output/iterative_model_2_machine/scenario_seed_4_nJob_50_machineCount_2/mip_increment_2/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 1250 rows, 9894 columns and 67994 nonzeros
Model fingerprint: 0xa9eb3057
Variable types: 0 continuous, 9894 integer (9894 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e+01, 4e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 2.640622e+07
Presolve removed 78 rows and 1217 columns
Presolve time: 0.09s
Presolved: 1172 rows, 8677 columns, 59612 nonzeros
Variable types: 0 continuous, 8677 integer (8675 binary)
Found heuristic solution: objective 2.428802e+07

Root relaxation: objective 1.042833e+04, 1957 iterations, 0.07 seconds (0.14 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 51295.0553    0  139 53856.0000 51295.0553  4.76%     -    5s
H    0     0                    53840.000000 51295.0553  4.73%     -    5s
     0     0 51295.0553    0  140 53840.0000 51295.0553  4.73%     -    5s
     0     0 52195.1529    0  149 53840.0000 52195.1529  3.06%     -    5s
     0     0 53427.0130    0  116 53840.0000 53427.0130  0.77%     -    5s
H    0     0                    53776.000000 53427.0130  0.65%     -    5s
     0     0 53432.2948    0  126 53776.0000 53432.2948  0.64%     -    5s
     0     0 53432.8186    0  121 53776.0000 53432.8186  0.64%     -    5s
     0     0 53450.1958    0  143 53776.0000 53450.1958  0.61%     -    5s
     0     0 53450.1958    0   95 53776.0000 53450.1958  0.61%     -    5s
H    0     0                    53696.000000 53450.1958  0.46%     -    5s
     0     0 53450.1958    0  120 53696.0000 53450.1958  0.46%     -    5s
H    0     0                    53632.000000 53450.1958  0.34%     -    5s
H    0     0                    53600.000000 53450.1958  0.28%     -    5s
     0     0 53450.1958    0  134 53600.0000 53450.1958  0.28%     -    5s
     0     0 53450.1958    0  117 53600.0000 53450.1958  0.28%     -    5s
     0     0 53453.1405    0  126 53600.0000 53453.1405  0.27%     -    5s
     0     0 53456.6959    0  137 53600.0000 53456.6959  0.27%     -    5s
     0     0 53457.3230    0  136 53600.0000 53457.3230  0.27%     -    5s
     0     0 53457.3700    0  125 53600.0000 53457.3700  0.27%     -    5s
     0     0 53463.4082    0  148 53600.0000 53463.4082  0.25%     -    5s
H    0     0                    53568.000000 53463.4082  0.20%     -    5s
     0     0 53463.9055    0  136 53568.0000 53463.9055  0.19%     -    5s
     0     0 53463.9089    0  135 53568.0000 53463.9089  0.19%     -    5s
     0     0 53472.3047    0  137 53568.0000 53472.3047  0.18%     -    5s
     0     0 53473.0890    0  144 53568.0000 53473.0890  0.18%     -    5s
     0     0 53473.1095    0  148 53568.0000 53473.1095  0.18%     -    5s
     0     0 53476.2181    0  141 53568.0000 53476.2181  0.17%     -    5s
     0     0 53479.9221    0  144 53568.0000 53479.9221  0.16%     -    5s
     0     0 53481.5792    0  146 53568.0000 53481.5792  0.16%     -    5s
     0     0 53481.5987    0  147 53568.0000 53481.5987  0.16%     -    5s
     0     0 53482.0524    0  146 53568.0000 53482.0524  0.16%     -    5s
H    0     0                    53536.000000 53482.0524  0.10%     -    5s
     0     0 53482.1801    0  152 53536.0000 53482.1801  0.10%     -    5s
     0     0 53482.1801    0  150 53536.0000 53482.1801  0.10%     -    5s
     0     0 53482.3901    0  145 53536.0000 53482.3901  0.10%     -    5s
     0     0 53482.3901    0   90 53536.0000 53482.3901  0.10%     -    5s
     0     0 53482.3901    0  114 53536.0000 53482.3901  0.10%     -    5s
     0     0 53482.3901    0  116 53536.0000 53482.3901  0.10%     -    5s
     0     0 53482.3901    0  131 53536.0000 53482.3901  0.10%     -    5s
     0     0 53483.6364    0  123 53536.0000 53483.6364  0.10%     -    5s
     0     0 53483.6364    0  124 53536.0000 53483.6364  0.10%     -    5s
     0     0 53484.0000    0  118 53536.0000 53484.0000  0.10%     -    5s
     0     0 53484.5714    0  124 53536.0000 53484.5714  0.10%     -    5s
     0     0 53484.6857    0  132 53536.0000 53484.6857  0.10%     -    5s
     0     0 53484.6857    0  132 53536.0000 53484.6857  0.10%     -    5s
     0     0 53485.0133    0  123 53536.0000 53485.0133  0.10%     -    5s
     0     0 53485.0133    0  114 53536.0000 53485.0133  0.10%     -    5s
     0     0 53485.0133    0   85 53536.0000 53485.0133  0.10%     -    5s
     0     0 53485.0133    0   91 53536.0000 53485.0133  0.10%     -    5s
     0     0 53485.0133    0  117 53536.0000 53485.0133  0.10%     -    5s
     0     0 53485.0133    0  104 53536.0000 53485.0133  0.10%     -    5s
     0     0 53485.0133    0  100 53536.0000 53485.0133  0.10%     -    5s
     0     0 53485.0133    0  115 53536.0000 53485.0133  0.10%     -    5s
     0     0 53485.0133    0  117 53536.0000 53485.0133  0.10%     -    5s
     0     0 53485.0133    0  122 53536.0000 53485.0133  0.10%     -    5s
     0     0 53485.0133    0  114 53536.0000 53485.0133  0.10%     -    5s
     0     0 53486.3642    0  121 53536.0000 53486.3642  0.09%     -    5s
     0     0 53486.4516    0  117 53536.0000 53486.4516  0.09%     -    5s
     0     0 53486.5116    0  119 53536.0000 53486.5116  0.09%     -    5s
     0     0 53486.5116    0  117 53536.0000 53486.5116  0.09%     -    5s
     0     2 53488.0000    0  113 53536.0000 53488.0000  0.09%     -    5s
H   11     6                    53488.000000 53488.0000  0.00%  41.6    5s

Cutting planes:
  Cover: 3
  Clique: 21
  MIR: 16
  StrongCG: 1
  GUB cover: 32
  Zero half: 12
  RLT: 6
  Relax-and-lift: 1

Explored 17 nodes (57647 simplex iterations) in 5.64 seconds (8.25 work units)
Thread count was 8 (of 8 available processors)

Solution count 10: 53488 53536 53568 ... 53840

Optimal solution found (tolerance 1.00e-04)
Best objective 5.348800000000e+04, best bound 5.348800000000e+04, gap 0.0000%

Gurobi 9.5.2 (mac64[arm]) logging started Fri Apr 28 20:58:13 2023

Set parameter LogFile to value "Java/output/iterative_model_2_machine/scenario_seed_4_nJob_50_machineCount_2/mip_increment_2/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 1248 rows, 6723 columns and 48696 nonzeros
Model fingerprint: 0xbd2f4624
Variable types: 0 continuous, 6723 integer (6723 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e+02, 6e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Presolve removed 424 rows and 1117 columns
Presolve time: 0.05s
Presolved: 824 rows, 5606 columns, 40158 nonzeros
Variable types: 0 continuous, 5606 integer (5604 binary)

Root relaxation: objective 2.832517e+04, 1275 iterations, 0.03 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 28325.1720    0   77          - 28325.1720      -     -    0s
H    0     0                    1246736.0000 28325.1720  97.7%     -    0s
H    0     0                    819164.00000 28325.1720  96.5%     -    0s
H    0     0                    340680.00000 28706.7833  91.6%     -    0s
H    0     0                    316664.00000 28706.7833  90.9%     -    0s
     0     0 28706.7833    0  160 316664.000 28706.7833  90.9%     -    0s
H    0     0                    298080.00000 28706.7833  90.4%     -    0s
H    0     0                    233016.00000 28706.7833  87.7%     -    0s
H    0     0                    38336.000000 28706.7833  25.1%     -    0s
H    0     0                    38288.000000 28706.7833  25.0%     -    0s
     0     0 28706.7833    0  153 38288.0000 28706.7833  25.0%     -    0s
     0     0 29094.6704    0  128 38288.0000 29094.6704  24.0%     -    0s
     0     0 29094.6704    0   81 38288.0000 29094.6704  24.0%     -    0s
     0     0 29094.6704    0  173 38288.0000 29094.6704  24.0%     -    0s
     0     0 29094.6704    0  150 38288.0000 29094.6704  24.0%     -    0s
     0     0 29145.1974    0  160 38288.0000 29145.1974  23.9%     -    0s
     0     0 29153.6516    0  153 38288.0000 29153.6516  23.9%     -    0s
     0     0 30507.7277    0  176 38288.0000 30507.7277  20.3%     -    0s
H    0     0                    33576.000000 30507.7277  9.14%     -    0s
H    0     0                    33016.000000 30507.7277  7.60%     -    0s
     0     0 30521.4530    0  180 33016.0000 30521.4530  7.56%     -    0s
     0     0 30521.5162    0  183 33016.0000 30521.5162  7.56%     -    0s
     0     0 31698.7674    0  187 33016.0000 31698.7674  3.99%     -    0s
H    0     0                    32640.000000 31698.7674  2.88%     -    0s
     0     0 31727.2287    0  179 32640.0000 31727.2287  2.80%     -    0s
     0     0 31730.9748    0  167 32640.0000 31730.9748  2.79%     -    0s
     0     0 31730.9748    0  169 32640.0000 31730.9748  2.79%     -    0s
     0     0     cutoff    0      32640.0000 32640.0000  0.00%     -    0s

Cutting planes:
  Gomory: 1
  Cover: 13
  Clique: 49
  MIR: 17
  StrongCG: 7
  GUB cover: 32
  Zero half: 21
  RLT: 12

Explored 1 nodes (6551 simplex iterations) in 0.61 seconds (0.79 work units)
Thread count was 8 (of 8 available processors)

Solution count 10: 32640 33016 33576 ... 340680

Optimal solution found (tolerance 1.00e-04)
Best objective 3.264000000000e+04, best bound 3.264000000000e+04, gap 0.0000%

Gurobi 9.5.2 (mac64[arm]) logging started Fri Apr 28 20:58:13 2023

Set parameter LogFile to value "Java/output/iterative_model_2_machine/scenario_seed_4_nJob_50_machineCount_2/mip_increment_2/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 1236 rows, 3650 columns and 26136 nonzeros
Model fingerprint: 0xba801961
Variable types: 0 continuous, 3650 integer (3650 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e+02, 5e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 294884.00000
Presolve removed 720 rows and 520 columns
Presolve time: 0.03s
Presolved: 516 rows, 3130 columns, 22293 nonzeros
Variable types: 0 continuous, 3130 integer (3130 binary)
Found heuristic solution: objective 247245.00000

Root relaxation: objective 1.649361e+04, 1245 iterations, 0.02 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 16493.6095    0  100 247245.000 16493.6095  93.3%     -    0s
H    0     0                    100808.00000 16493.6095  83.6%     -    0s
H    0     0                    93617.000000 16493.6095  82.4%     -    0s
H    0     0                    57734.000000 16493.6095  71.4%     -    0s
H    0     0                    31226.000000 16493.6095  47.2%     -    0s
H    0     0                    28580.000000 16772.4487  41.3%     -    0s
     0     0 16926.5344    0   92 28580.0000 16926.5344  40.8%     -    0s
H    0     0                    22800.000000 16926.5344  25.8%     -    0s
     0     0 16937.3991    0   98 22800.0000 16937.3991  25.7%     -    0s
     0     0 16937.3991    0  101 22800.0000 16937.3991  25.7%     -    0s
     0     0 16993.1242    0  130 22800.0000 16993.1242  25.5%     -    0s
H    0     0                    22796.000000 16993.1242  25.5%     -    0s
     0     0 16993.2692    0  127 22796.0000 16993.2692  25.5%     -    0s
     0     0 17017.6981    0   98 22796.0000 17017.6981  25.3%     -    0s
     0     0 17090.3765    0  105 22796.0000 17090.3765  25.0%     -    0s
     0     0 17091.0289    0  101 22796.0000 17091.0289  25.0%     -    0s
     0     0 17091.0636    0  101 22796.0000 17091.0636  25.0%     -    0s
     0     0 17103.3090    0  116 22796.0000 17103.3090  25.0%     -    0s
     0     0 17104.4699    0  111 22796.0000 17104.4699  25.0%     -    0s
     0     0 17104.4785    0  116 22796.0000 17104.4785  25.0%     -    0s
     0     0 17117.4804    0  148 22796.0000 17117.4804  24.9%     -    0s
H    0     0                    18926.000000 17117.4804  9.56%     -    0s
     0     0 17118.1923    0  138 18926.0000 17118.1923  9.55%     -    0s
     0     0 17118.2712    0  150 18926.0000 17118.2712  9.55%     -    0s
     0     0 17133.5926    0   84 18926.0000 17133.5926  9.47%     -    0s
     0     0 17133.5926    0   87 18926.0000 17133.5926  9.47%     -    0s
H    0     0                    18925.000000 17133.5926  9.47%     -    0s
     0     0 17133.5926    0   73 18925.0000 17133.5926  9.47%     -    0s
     0     0 17133.5926    0   88 18925.0000 17133.5926  9.47%     -    0s
     0     0 17133.5926    0  122 18925.0000 17133.5926  9.47%     -    0s
     0     0 17138.0115    0   90 18925.0000 17138.0115  9.44%     -    0s
     0     0 17139.6192    0   89 18925.0000 17139.6192  9.43%     -    0s
     0     0 17139.6192    0   91 18925.0000 17139.6192  9.43%     -    0s
     0     0 17144.9417    0  105 18925.0000 17144.9417  9.41%     -    0s
     0     0 17145.1319    0  104 18925.0000 17145.1319  9.40%     -    0s
     0     0 17221.9826    0  122 18925.0000 17221.9826  9.00%     -    0s
     0     0 17222.4956    0  122 18925.0000 17222.4956  9.00%     -    0s
     0     0 17223.2314    0  123 18925.0000 17223.2314  8.99%     -    0s
